GOBPID	Pvalue	BHPvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
GO:0016598	0.00147808735496269	0.135614514817827	Inf	0.00147808735496268	1	1	protein arginylation	ATE1
GO:0033386	0.00147808735496269	0.135614514817827	Inf	0.00147808735496268	1	1	geranylgeranyl diphosphate biosynthetic process	GGPS1
GO:0035732	0.00147808735496269	0.135614514817827	Inf	0.00147808735496268	1	1	nitric oxide storage	GSTP1
GO:0050760	0.00147808735496269	0.135614514817827	Inf	0.00147808735496268	1	1	negative regulation of thymidylate synthase biosynthetic process	APBB1
GO:0033384	0.00295409905140764	0.180565543477511	711.052631578947	0.00295617470992536	1	2	geranyl diphosphate biosynthetic process	GGPS1
GO:0045337	0.00295409905140764	0.180565543477511	711.052631578947	0.00295617470992536	1	2	farnesyl diphosphate biosynthetic process	GGPS1
GO:0035726	0.00442803785094714	0.180565543477511	355.5	0.00443426206488803	1	3	common myeloid progenitor cell proliferation	GSTP1
GO:0051771	0.00442803785094714	0.180565543477511	355.5	0.00443426206488803	1	3	negative regulation of nitric-oxide synthase biosynthetic process	GSTP1
GO:0071638	0.00442803785094714	0.180565543477511	355.5	0.00443426206488803	1	3	negative regulation of monocyte chemotactic protein-1 production	GSTP1
GO:0031571	0.00512239713050273	0.182559735142862	21.0328638497653	0.107900376912276	2	73	mitotic G1 DNA damage checkpoint	CRADD, RFWD3
GO:0046726	0.00589990651172323	0.182559735142862	236.982456140351	0.00591234941985071	1	4	positive regulation by virus of viral protein levels in host cell	STAU1
GO:0080135	0.00596925564499823	0.182559735142862	9.32509505703422	0.378236790899566	3	266	regulation of cellular response to stress	APBB1, NSMCE4A, RFWD3
GO:0044774	0.00978628490738288	0.207323940254506	14.9011111111111	0.150764910206193	2	102	mitotic DNA integrity checkpoint	CRADD, RFWD3
GO:0008298	0.0103031191909218	0.207323940254506	118.464912280702	0.0103466114847387	1	7	intracellular mRNA localization	STAU1
