GOBPID	Pvalue	BHPvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
GO:0031571	0.00512239713050273	0.182559735142862	21.0328638497653	0.107900376912276	2	73	mitotic G1 DNA damage checkpoint	CRADD, RFWD3
GO:0080135	0.00596925564499823	0.182559735142862	9.32509505703422	0.378236790899566	3	266	regulation of cellular response to stress	APBB1, NSMCE4A, RFWD3
GO:0044774	0.00978628490738288	0.207323940254506	14.9011111111111	0.150764910206193	2	102	mitotic DNA integrity checkpoint	CRADD, RFWD3
GO:0007050	0.0109259762456757	0.207323940254506	14.0985691573927	0.159842167957117	2	113	cell cycle arrest	APBB1, TBRG4
GO:0007612	0.0121083013596884	0.207323940254506	13.2926587301587	0.168501958465745	2	114	learning	APBB1, ATAD1
GO:2000045	0.0146483076092716	0.207323940254506	11.9955197132616	0.186239006725297	2	126	regulation of G1/S transition of mitotic cell cycle	CRADD, RFWD3
GO:0007346	0.0168422623128357	0.220753938171811	6.25019819248454	0.552804670756042	3	374	regulation of mitotic cell cycle	CRADD, MAD2L1BP, RFWD3
GO:1901991	0.0181183024289543	0.22164723304754	10.6890487609912	0.208410317049738	2	141	negative regulation of mitotic cell cycle phase transition	CRADD, RFWD3
GO:0010948	0.037587384246706	0.316663350926718	7.14117015566291	0.3089202571872	2	209	negative regulation of cell cycle process	CRADD, RFWD3
GO:0050890	0.0389068183877995	0.316663350926718	7.00368615060558	0.31483260660705	2	213	cognition	APBB1, ATAD1
GO:1901987	0.0412585639983462	0.316663350926718	6.77522935779816	0.325179218091789	2	220	regulation of cell cycle phase transition	CRADD, RFWD3
GO:0071704	0.0436281500056244	0.316663350926718	3.16321634828965	3.68703224928562	7	2258	organic substance metabolic process	CAPRIN1, CRADD, TBRG4, ATE1, UBE2O, DNAJC1, ATAD1
GO:0006281	0.0446905103418267	0.316663350926718	6.49925852694019	0.340171577769489	2	240	DNA repair	NSMCE4A, RFWD3
