GOBPID	Pvalue	BHPvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
GO:0000375	5.68405008145804e-05	0.0748320559838956	3.78746481205498	4.0474466040943	14	197	RNA splicing, via transesterification reactions	SYNCRIP, PAPOLA, RNPS1, CSTF2, FRG1, NCBP1, CWC15, PTBP1, UBL5, SFPQ, BUD13, KHSRP, EFTUD2, THRAP3
GO:0044260	0.000108367193951404	0.0748320559838956	3.0625	6.69869113479962	18	394	cellular macromolecule metabolic process	RRP1B, FRG1, FGF21, TRUB2, CWC15, NUP54, PTBP1, PWP2, NOL6, RPP21, PUS7L, THOC3, BUD13, RPUSD4, ATAD1, EFTUD2, NUP155, NUP93
GO:0007077	0.000113170628046887	0.0748320559838956	9.11374080882353	0.780725740891287	6	38	mitotic nuclear envelope disassembly	NUP62, NUP54, PLK1, PRKCA, NUP155, NUP93
GO:0030397	0.000152027355433163	0.0748320559838956	8.57634083044983	0.821816569359249	6	40	membrane disassembly	NUP62, NUP54, PLK1, PRKCA, NUP155, NUP93
GO:0006403	0.000216592857292486	0.0748320559838956	4.35318683504027	2.51929902395741	10	123	RNA localization	RNPS1, NUP62, NCBP1, NUP54, NOL6, THOC3, BUD13, KHSRP, NUP155, NUP93
GO:0044238	0.00026805640466017	0.0748320559838956	2.18896252199633	18.0113278791693	33	954	primary metabolic process	CHAF1A, SMC2, ATP5L, WDR4, PAPOLA, TOPBP1, APOA1BP, CSTF2, RRP1B, PHF3, FRG1, HIBCH, TRUB2, NDUFA7, ATIC, NTHL1, CWC15, NSMCE4A, CCBL2, PWP2, PPCDC, RRM1, NOL6, PALB2, RPP21, PUS7L, RPAIN, THOC3, MCM8, BUD13, RPUSD4, EFTUD2, DCLRE1A
GO:0015931	0.000269509449766405	0.0748320559838956	3.88688599682052	3.08181213509718	11	150	nucleobase-containing compound transport	RNPS1, NUP62, NCBP1, NUP54, NOL6, SLC35A2, THOC3, BUD13, KHSRP, NUP155, NUP93
GO:0070126	0.000298581769511803	0.0748320559838956	5.20612345679012	1.70526938142044	8	83	mitochondrial translational termination	MRPL3, MRPL55, MRPS16, MTRF1L, AURKAIP1, MRPS12, MRPL17, MRPS34
GO:0051168	0.000337910493120672	0.0752789487452164	5.94272245899522	1.32131463758439	7	65	nuclear export	RNPS1, NCBP1, NOL6, THOC3, BUD13, NUP155, NUP93
GO:0006998	0.00117748763795772	0.236086271410523	5.59997171945701	1.19163402557091	6	58	nuclear envelope organization	NUP62, NUP54, PLK1, PRKCA, NUP155, NUP93
GO:0070124	0.00157170477422632	0.253700237424327	4.47849096912022	1.70526938142044	7	83	mitochondrial translational initiation	MRPL3, MRPL55, MRPS16, AURKAIP1, MRPS12, MRPL17, MRPS34
