KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
00900	0.0157344404620785	81.3384615384615	0.0158311345646438	1	14	Terpenoid backbone biosynthesis	GGPS1
00480	0.0498420026915423	23.8909090909091	0.0508857896720694	1	45	Glutathione metabolism	GSTP1
00980	0.0659885681746688	17.7661016949153	0.0678477195627591	1	60	Metabolism of xenobiotics by cytochrome P450	GSTP1
00982	0.0691902805192334	16.8967741935484	0.0712401055408971	1	63	Drug metabolism - cytochrome P450	GSTP1
05215	0.0944762891987044	12.1255813953488	0.0983791933660007	1	87	Prostate cancer	GSTP1
04120	0.132335999757443	8.41788617886179	0.140218620429702	1	124	Ubiquitin mediated proteolysis	UBE2O
03013	0.140345921409371	7.89160305343511	0.14926498303807	1	132	RNA transport	NUP155
04141	0.16107931696548	6.77368421052632	0.173011684885036	1	153	Protein processing in endoplasmic reticulum	DNAJC1
05010	0.16205613126748	6.7281045751634	0.174142480211082	1	154	Alzheimer's disease	APBB1
05200	0.309124990744241	3.15443037974684	0.358462118356577	1	317	Pathways in cancer	GSTP1
01100	0.725497722092004	0.832132424537488	1.16245759517527	1	1028	Metabolic pathways	GGPS1
