KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
04060	0.00479770474111901	4.34310344827586	1.61477572559367	6	238	Cytokine-cytokine receptor interaction	FIGF, CXCL2, INHBA, LIFR, PDGFRA, TSLP
05212	0.0115015501442456	7.05970149253731	0.474934036939314	3	70	Pancreatic cancer	FIGF, PLD1, RAD51
00565	0.017282726483894	11.0126050420168	0.203543158688277	2	30	Ether lipid metabolism	PLA2G4A, PLD1
05200	0.0184523001302639	3.18906752411576	2.15077271013946	6	317	Pathways in cancer	FGF2, FIGF, MMP1, PDGFRA, PLD1, RAD51
03410	0.0207129994061757	9.94117647058824	0.223897474557105	2	33	Base excision repair	PARP1, FEN1
04010	0.0278447647823085	3.22516386068629	1.73690162080663	5	256	MAPK signaling pathway	FGF2, STMN1, NTRK2, PDGFRA, PLA2G4A
05219	0.0297074391829899	8.09907120743034	0.271390878251037	2	40	Bladder cancer	FIGF, MMP1
04510	0.0403126440366675	3.36044973544974	1.30946098756125	4	193	Focal adhesion	COL11A1, FIGF, IBSP, PDGFRA
04120	0.0508395573554146	3.86851990984222	0.841311722578213	3	124	Ubiquitin mediated proteolysis	MID1, UBE2E3, UBE2C
03008	0.0675405657306134	5.02314368370299	0.427440633245383	2	63	Ribosome biogenesis in eukaryotes	NVL, POP1
04630	0.0705526400822055	3.35578809679529	0.96343761779118	3	142	Jak-STAT signaling pathway	LIFR, SPRY2, TSLP
00564	0.0732580244659764	4.78492647058824	0.44779494911421	2	66	Glycerophospholipid metabolism	PLA2G4A, PLD1
05218	0.0811167560512624	4.5	0.474934036939314	2	70	Melanoma	FGF2, PDGFRA
04974	0.0831214853009846	4.43393009377664	0.48171880889559	2	71	Protein digestion and absorption	COL11A1, MME
03450	0.0847913339861779	12.5190476190476	0.0882020354315869	1	13	Non-homologous end-joining	FEN1
04350	0.10397110820021	3.86522710349963	0.549566528458349	2	81	TGF-beta signaling pathway	ID4, INHBA
05323	0.108301856856205	3.7683369644154	0.563136072370901	2	83	Rheumatoid arthritis	CD80, MMP1
04970	0.108301856856205	3.7683369644154	0.563136072370901	2	83	Salivary secretion	CST1, CST2
04614	0.1094443094825	9.38214285714286	0.115341123256691	1	17	Renin-angiotensin system	MME
04512	0.110485620297571	3.72166427546628	0.569920844327177	2	84	ECM-receptor interaction	COL11A1, IBSP
00592	0.115505947761688	8.82857142857143	0.122125895212966	1	18	alpha-Linolenic acid metabolism	PLA2G4A
04666	0.119337389663564	3.54582763337893	0.59705993215228	2	88	Fc gamma R-mediated phagocytosis	PLA2G4A, PLD1
04912	0.139870762618967	3.20433436532508	0.658122879758764	2	97	GnRH signaling pathway	PLA2G4A, PLD1
03440	0.156828377339928	6.2452380952381	0.169619298906898	1	25	Homologous recombination	RAD51
00591	0.173957746198554	5.54814814814815	0.189973614775726	1	28	Linoleic acid metabolism	PLA2G4A
04722	0.205194664759967	2.48216007714561	0.841311722578213	2	124	Neurotrophin signaling pathway	IRS1, NTRK2
05330	0.207207441517265	4.53419913419913	0.230682246513381	1	34	Allograft rejection	CD80
03030	0.212621047758801	4.4	0.237467018469657	1	35	DNA replication	FEN1
05332	0.223340651395706	4.15396825396825	0.251036562382209	1	37	Graft-versus-host disease	CD80
03013	0.225234091716835	2.32579185520362	0.895589898228421	2	132	RNA transport	TACC3, POP1
04960	0.233918315421497	3.93383458646617	0.264606106294761	1	39	Aldosterone-regulated sodium reabsorption	IRS1
04940	0.239154491735305	3.83223443223443	0.271390878251037	1	40	Type I diabetes mellitus	CD80
04975	0.25465510755402	3.55646258503401	0.291745194119864	1	43	Fat digestion and absorption	PLA2G4A
04672	0.25465510755402	3.55646258503401	0.291745194119864	1	43	Intestinal immune network for IgA production	CD80
02010	0.25975341956771	3.47308970099668	0.29852996607614	1	44	ABC transporters	ABCA5
04930	0.264817820346039	3.39350649350649	0.305314738032416	1	45	Type II diabetes mellitus	IRS1
04150	0.274845763447409	3.24472049689441	0.318884281944968	1	47	mTOR signaling pathway	FIGF
05320	0.274845763447409	3.24472049689441	0.318884281944968	1	47	Autoimmune thyroid disease	CD80
04141	0.27843443206488	1.99415660303857	1.03807010931021	2	153	Protein processing in endoplasmic reticulum	UBE2E3, DNAJC1
00590	0.29933734815278	2.92380952380952	0.352808141726348	1	52	Arachidonic acid metabolism	PLA2G4A
04621	0.29933734815278	2.92380952380952	0.352808141726348	1	52	NOD-like receptor signaling pathway	CXCL2
00562	0.308907132685052	2.81239892183288	0.366377685638899	1	54	Inositol phosphate metabolism	INPP1
04144	0.33912137811926	1.71260504201681	1.20090463626084	2	177	Endocytosis	PDGFRA, PLD1
05214	0.350421517699978	2.4	0.427440633245383	1	63	Glioma	PDGFRA
04730	0.359312136423451	2.32410714285714	0.441010177157934	1	65	Long-term depression	PLA2G4A
04610	0.363712968915105	2.28791208791209	0.44779494911421	1	66	Complement and coagulation cascades	PROS1
05416	0.368084406533245	2.25281385281385	0.454579721070486	1	67	Viral myocarditis	CD80
04920	0.368084406533245	2.25281385281385	0.454579721070486	1	67	Adipocytokine signaling pathway	IRS1
03320	0.372426640044374	2.21876332622601	0.461364493026762	1	68	PPAR signaling pathway	MMP1
05211	0.38102425180969	2.1536231884058	0.474934036939314	1	70	Renal cell carcinoma	FIGF
04370	0.38950730643793	2.09215291750503	0.488503580851866	1	72	VEGF signaling pathway	PLA2G4A
04070	0.393706339102858	2.06269841269841	0.495288352808142	1	73	Phosphatidylinositol signaling system	INPP1
04810	0.400842413161655	1.49117647058824	1.37052393516773	2	202	Regulation of actin cytoskeleton	FGF2, PDGFRA
04664	0.402020333464894	2.00617760617761	0.508857896720694	1	75	Fc epsilon RI signaling pathway	PLA2G4A
04640	0.418317108343148	1.9018315018315	0.535996984545797	1	79	Hematopoietic cell lineage	MME
04540	0.426302745072673	1.85357142857143	0.549566528458349	1	81	Gap junction	PDGFRA
03010	0.438081708985934	1.7855421686747	0.569920844327177	1	84	Ribosome	RPS25
05215	0.449625414519715	1.72225913621262	0.590275160196005	1	87	Prostate cancer	PDGFRA
04972	0.468354492838216	1.62605965463108	0.624199019977384	1	92	Pancreatic secretion	PLA2G4A
04620	0.48289022308387	1.55639097744361	0.651338107802488	1	96	Toll-like receptor signaling pathway	CD80
05146	0.497039276819449	1.49235209235209	0.678477195627591	1	100	Amoebiasis	COL11A1
04270	0.527512252565229	1.36560846560847	0.739540143234075	1	109	Vascular smooth muscle contraction	PLA2G4A
05322	0.543658012412675	1.3039190897598	0.773464003015454	1	114	Systemic lupus erythematosus	CD80
05145	0.565363966335145	1.22619047619048	0.820957406709386	1	121	Toxoplasmosis	PLA2G4A
04514	0.577313149014366	1.18571428571429	0.848096494534489	1	125	Cell adhesion molecules (CAMs)	CD80
04910	0.591801125141647	1.13864894795127	0.882020354315869	1	130	Insulin signaling pathway	IRS1
04310	0.634991680457857	1.00985221674877	0.990576705616283	1	146	Wnt signaling pathway	SFRP1
05010	0.654886819890812	0.955555555555556	1.04485488126649	1	154	Alzheimer's disease	MME
04020	0.687195485337674	0.873053892215569	1.13984168865435	1	168	Calcium signaling pathway	PDGFRA
04062	0.704316472156969	0.831836734693878	1.19411986430456	1	176	Chemokine signaling pathway	CXCL2
01100	0.980522830728155	0.37649667405765	6.97474557105164	3	1028	Metabolic pathways	INPP1, PLA2G4A, PLD1
