KEGGID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Genes
03013	0.00015819353374958	7.01092682926829	1.19411986430456	7	132	RNA transport	NCBP1, UBE2I, EIF3F, NUP155, NUP93, NUP62, RPP21
00062	0.00216748953230621	38.0579710144928	0.0723709008669431	2	8	Fatty acid elongation in mitochondria	HADH, PPT2
04970	0.00642201750757016	5.95972382048331	0.750848096494534	4	83	Salivary secretion	ATP1B2, PRKCA, SLC9A1, BEST2
00280	0.00665430153974387	8.69666666666667	0.388993592159819	3	43	Valine, leucine and isoleucine degradation	HADH, HIBCH, ACAD8
00780	0.0180125783661055	111.851063829787	0.0180927252167358	1	2	Biotin metabolism	HLCS
04260	0.0239927231044827	5.24444444444444	0.624199019977384	3	69	Cardiac muscle contraction	ATP1B2, SLC9A1, TPM3
04971	0.0249107088285888	5.16517412935323	0.633245382585752	3	70	Gastric acid secretion	ATP1B2, PRKCA, SLC9A1
00730	0.0268993423627922	55.9148936170213	0.0271390878251037	1	3	Thiamine metabolism	NFS1
00380	0.0436638634322996	6.48819875776397	0.334715416509612	2	37	Tryptophan metabolism	HADH, CCBL2
04666	0.0446367478084171	4.05725490196078	0.796079909536374	3	88	Fc gamma R-mediated phagocytosis	PLD1, PRKCA, DNM1L
04960	0.0480328742650902	6.13513513513514	0.352808141726348	2	39	Aldosterone-regulated sodium reabsorption	ATP1B2, PRKCA
04972	0.0498282902791281	3.87191011235955	0.832265359969845	3	92	Pancreatic secretion	ATP1B2, PRKCA, SLC9A1
00480	0.0620313538036093	5.27300303336704	0.407086317376555	2	45	Glutathione metabolism	GSTP1, RRM1
04122	0.0701653039102291	15.9604863221884	0.0723709008669431	1	8	Sulfur relay system	NFS1
04144	0.0747978734031165	2.67209668943773	1.60120618168112	4	177	Endocytosis	ADRBK1, PLD1, DNM1L, STAMBP
03018	0.110610594788437	3.70420527441197	0.569920844327177	2	63	RNA degradation	BTG1, CNOT3
00900	0.119602918267483	8.58428805237316	0.12664907651715	1	14	Terpenoid backbone biosynthesis	GGPS1
04976	0.125474107127359	3.42028985507246	0.615152657369016	2	68	Bile secretion	ATP1B2, SLC9A1
03015	0.13461409170321	3.26969124133585	0.64229174519412	2	71	mRNA surveillance pathway	CSTF2, NCBP1
00511	0.135502905463559	7.43687943262411	0.144741801733886	1	16	Other glycan degradation	NEU1
00450	0.135502905463559	7.43687943262411	0.144741801733886	1	16	Selenocompound metabolism	CCBL2
04141	0.159761003644558	2.27022222222222	1.38409347908029	3	153	Protein processing in endoplasmic reticulum	BAK1, UBQLN1, DNAJC1
04012	0.17900533252243	2.71084337349398	0.76894082171127	2	85	ErbB signaling pathway	PRKCA, PAK4
00410	0.181534606227201	5.30597771023303	0.199019977384093	1	22	beta-Alanine metabolism	HIBCH
04964	0.188969568169119	5.06382978723404	0.208066339992461	1	23	Proximal tubule bicarbonate reclamation	ATP1B2
00512	0.203641633564418	4.64007092198582	0.226159065209197	1	25	Mucin type O-Glycan biosynthesis	GALNT10
00650	0.218053703431244	4.28150572831424	0.244251790425933	1	27	Butanoate metabolism	HADH
04912	0.218630061838288	2.3629290617849	0.877497173011685	2	97	GnRH signaling pathway	PLD1, PRKCA
05216	0.232210288682477	3.9741641337386	0.262344515642669	1	29	Thyroid cancer	TPM3
00640	0.239194163259555	3.83639031548056	0.271390878251037	1	30	Propanoate metabolism	HIBCH
05143	0.239194163259555	3.83639031548056	0.271390878251037	1	30	African trypanosomiasis	PRKCA
00565	0.239194163259555	3.83639031548056	0.271390878251037	1	30	Ether lipid metabolism	PLD1
03022	0.252975812353105	3.58750857927248	0.289483603467772	1	32	Basal transcription factors	GTF2E1
03410	0.259774667303247	3.47473404255319	0.29852996607614	1	33	Base excision repair	NTHL1
05340	0.26651292180153	3.36879432624113	0.307576328684508	1	34	Primary immunodeficiency	RFXANK
00600	0.26651292180153	3.36879432624113	0.307576328684508	1	34	Sphingolipid metabolism	NEU1
04142	0.289383800129067	1.92728635682159	1.06747078778741	2	118	Lysosome	NEU1, PPT2
04973	0.292870442982022	3.00230017251294	0.34376177911798	1	38	Carbohydrate digestion and absorption	ATP1B2
00071	0.299313536895625	2.92273236282195	0.352808141726348	1	39	Fatty acid metabolism	HADH
04120	0.309603293148066	1.8303635067712	1.12174896343762	2	124	Ubiquitin mediated proteolysis	UBE2I, UBE2O
00310	0.312027742384472	2.77553191489362	0.370900866943083	1	41	Lysine degradation	HADH
05200	0.321955034850972	1.43624745861168	2.86769694685262	4	317	Pathways in cancer	GSTP1, PLD1, PRKCA, TPM3
05130	0.372286680333962	2.21617021276596	0.461364493026762	1	51	Pathogenic Escherichia coli infection	PRKCA
04623	0.372286680333962	2.21617021276596	0.461364493026762	1	51	Cytosolic DNA-sensing pathway	ADAR
05110	0.378020312939856	2.17229870671673	0.47041085563513	1	52	Vibrio cholerae infection	PRKCA
04310	0.382563515895364	1.54408212560386	1.32076894082171	2	146	Wnt signaling pathway	PRKCA, CTNNBIP1
05223	0.383702654960961	2.13011456628478	0.479457218243498	1	53	Non-small cell lung cancer	PRKCA
00980	0.422080160193417	1.87486476739993	0.542781756502073	1	60	Metabolism of xenobiotics by cytochrome P450	GSTP1
00982	0.437802025610793	1.7831159917639	0.569920844327177	1	63	Drug metabolism - cytochrome P450	GSTP1
05214	0.437802025610793	1.7831159917639	0.569920844327177	1	63	Glioma	PRKCA
03008	0.437802025610793	1.7831159917639	0.569920844327177	1	63	Ribosome biogenesis in eukaryotes	EIF6
04730	0.448049794512146	1.72672872340426	0.588013569543913	1	65	Long-term depression	PRKCA
04622	0.448049794512146	1.72672872340426	0.588013569543913	1	65	RIG-I-like receptor signaling pathway	NLRX1
04020	0.452304118542146	1.33368255631221	1.5197889182058	2	168	Calcium signaling pathway	PHKB, PRKCA
00564	0.45310486222125	1.69983633387889	0.59705993215228	1	66	Glycerophospholipid metabolism	PLD1
01100	0.456051988279255	1.09606038672319	9.29966076140219	10	1028	Metabolic pathways	HADH, HLCS, PLD1, RRM1, PPT2, GGPS1, HIBCH, ACAD8, GALNT10, CCBL2
04720	0.458114588674185	1.67375886524823	0.606106294760648	1	67	Long-term potentiation	PRKCA
04612	0.458114588674185	1.67375886524823	0.606106294760648	1	67	Antigen processing and presentation	RFXANK
03320	0.463079371980854	1.64845982851699	0.615152657369016	1	68	PPAR signaling pathway	SLC27A1
05100	0.463079371980854	1.64845982851699	0.615152657369016	1	68	Bacterial invasion of epithelial cells	DNM1L
05211	0.472875684522802	1.60006167129201	0.633245382585752	1	70	Renal cell carcinoma	PAK4
05212	0.472875684522802	1.60006167129201	0.633245382585752	1	70	Pancreatic cancer	PLD1
