Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	phosphoprotein	15	7.009345794392523	0.0034823159327472576	CKAP2, FAM10A5, TBRG4, GON4L, NUP155, ATAD1, CAPRIN1, ATE1, STAU1, RFWD3, ATP13A1, NSMCE4A, APBB1, LRFN3, GSTP1	21	7263	19235	1.891681910269271	0.20287642738246114	0.20287642738246114	3.4929011488344264
SP_PIR_KEYWORDS	cytoplasm	9	4.205607476635514	0.014104388355499499	CKAP2, WDR8, FAM10A5, GGPS1, GON4L, APBB1, CAPRIN1, STAU1, ATE1	21	3332	19235	2.4740610529926252	0.6027986842579179	0.3697609058919924	13.478302970848555
GOTERM_CC_FAT	GO:0043005~neuron projection	3	1.4018691588785046	0.022692440455165656	APBB1, CAPRIN1, STAU1	10	342	12782	11.212280701754386	0.5819889069143612	0.5819889069143612	18.733975219025766
SMART	SM00320:WD40	3	1.4018691588785046	0.02687268930729828	WSB1, RFWD3, WDR8	10	266	9079	10.239473684210525	0.3354235963867702	0.3354235963867702	17.253724357844035
INTERPRO	IPR019781:WD40 repeat, subgroup	3	1.4018691588785046	0.027591746646859327	WSB1, RFWD3, WDR8	19	242	16659	10.869290996085255	0.823552524446409	0.823552524446409	24.599455619728317
UP_SEQ_FEATURE	repeat:WD 3	3	1.4018691588785046	0.03087545663138305	WSB1, RFWD3, WDR8	21	265	19113	10.303504043126683	0.9259532221690675	0.9259532221690675	28.52672721864753
UP_SEQ_FEATURE	repeat:WD 2	3	1.4018691588785046	0.03282837599392865	WSB1, RFWD3, WDR8	21	274	19113	9.965067778936392	0.9373682804635893	0.7497366995813995	30.054079855524694
UP_SEQ_FEATURE	repeat:WD 1	3	1.4018691588785046	0.03282837599392865	WSB1, RFWD3, WDR8	21	274	19113	9.965067778936392	0.9373682804635893	0.7497366995813995	30.054079855524694
INTERPRO	IPR001680:WD40 repeat	3	1.4018691588785046	0.032844405922843906	WSB1, RFWD3, WDR8	19	266	16659	9.888603086664029	0.8738830135778735	0.64487046529171	28.61016806334907
SP_PIR_KEYWORDS	wd repeat	3	1.4018691588785046	0.03288370000233051	WSB1, RFWD3, WDR8	21	276	19235	9.95600414078675	0.8862069604291326	0.5154128435166783	28.878762353291123
UP_SEQ_FEATURE	compositionally biased region:Glu-rich	3	1.4018691588785046	0.034829346990890575	FAM10A5, GON4L, APBB1	21	283	19113	9.648157496214033	0.9472598954061302	0.6249864192322954	31.588263921280824
INTERPRO	IPR019775:WD40 repeat, conserved site	3	1.4018691588785046	0.03537480493437006	WSB1, RFWD3, WDR8	19	277	16659	9.495914877446323	0.8927905008809532	0.5249444214705985	30.472793224150372
INTERPRO	IPR015943:WD40/YVTN repeat-like	3	1.4018691588785046	0.04090434559004676	WSB1, RFWD3, WDR8	19	300	16659	8.767894736842106	0.9249346971840422	0.4765685537763572	34.39158420700511
GOTERM_MF_FAT	GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups	2	0.9345794392523363	0.04438001154782009	GGPS1, GSTP1	13	49	12983	40.762951334379906	0.8966617125985171	0.8966617125985171	35.41691748106983
SP_PIR_KEYWORDS	alternative splicing	13	6.074766355140187	0.045877011151689046	CKAP2, TBRG4, GON4L, NUP155, ATAD1, CAPRIN1, ATE1, STAU1, WSB1, PCGF5, ATP13A1, NSMCE4A, APBB1	21	7488	19235	1.5901951058201058	0.9527628814964635	0.5338015241163798	38.03761182450093
UP_SEQ_FEATURE	splice variant	13	6.074766355140187	0.04671455726290336	CKAP2, TBRG4, GON4L, NUP155, ATAD1, CAPRIN1, ATE1, STAU1, WSB1, PCGF5, ATP13A1, NSMCE4A, APBB1	21	7458	19113	1.5864651572616175	0.9811415596072827	0.6294247217707709	40.08911570091285
GOTERM_CC_FAT	GO:0015630~microtubule cytoskeleton	3	1.4018691588785046	0.05425776573091673	CKAP2, PCGF5, STAU1	10	549	12782	6.9846994535519125	0.879948998529926	0.6535162320251149	39.598151229418676
GOTERM_CC_FAT	GO:0042995~cell projection	3	1.4018691588785046	0.0828571227167324	APBB1, CAPRIN1, STAU1	10	697	12782	5.501578192252511	0.962622873663863	0.6656495057753171	54.23535495378498
GOTERM_BP_FAT	GO:0006403~RNA localization	2	0.9345794392523363	0.08521914327203893	NUP155, STAU1	13	100	13528	20.812307692307694	0.9999990764454264	0.9999990764454264	65.72883368606954
GOTERM_BP_FAT	GO:0007050~cell cycle arrest	2	0.9345794392523363	0.08766963016775939	TBRG4, APBB1	13	103	13528	20.206123973114266	0.9999993922393337	0.9992204099369936	66.81641699618275
GOTERM_BP_FAT	GO:0006915~apoptosis	3	1.4018691588785046	0.09715865603003951	CKAP2, TBRG4, APBB1	13	602	13528	5.1857909532328135	0.9999998810445295	0.9950819288620965	70.73610445511592
GOTERM_BP_FAT	GO:0012501~programmed cell death	3	1.4018691588785046	0.0996478045550069	CKAP2, TBRG4, APBB1	13	611	13528	5.109404507113182	0.9999999226716483	0.9833242763938025	71.69149987518684
