gene Statistic Pvalue BHPvalue BonferPvalue
ELMO2 -8.4944108743835 9.57432211760872e-13 3.86487591667985e-12 1.70556974203082e-08
CREB3L1 -12.1219106957491 2.64599031926431e-21 2.54237710611512e-20 4.71356715473744e-17
RPS11 7.49447749491361 1.00383523425657e-10 3.35881308471949e-10 1.78823208630465e-06
PNMA1 4.41525837297717 2.99628388694076e-05 5.99458683310453e-05 0.533758011619628
MMP2 1.66043710143006 0.100921539773597 0.129451059153719 1
C10orf90 21.2844156469369 1.25865423286646e-36 6.89897430901019e-35 2.24216665042831e-32
ZHX3 2.75671701222507 0.00718089735502007 0.0109652413408476 1
ERCC5 7.50824171287588 3.42981825237375e-11 1.19310256488549e-10 6.1098782347786e-07
GPR98 -0.752200758072443 0.45388851415867 0.505790691306302 1
RXFP3 -0.56441552615538 0.574436603606058 0.622900758256533 1
APBB2 -2.45974650995789 0.0158916910536933 0.0231768146107977 1
PRO0478 4.31081949397147 5.67977231685007e-05 0.000110277345016204 1
KLHL13 17.6497549736622 2.05924923307063e-29 4.77649294764585e-28 3.66834658379202e-25
PRSSL1 2.75502466417332 0.00717434535921249 0.010957114903036 1
PDCL3 -4.38627338482256 3.40714039591153e-05 6.77699854988477e-05 0.60694799012768
DECR1 3.37293805660117 0.00117758171942843 0.00197490498492732 1
SALL1 1.06258810266059 0.291161170833287 0.340181353526869 1
CADM4 -11.528323879603 2.56836169226595e-19 2.05348500956729e-18 4.57527951860256e-15
RPS18 5.04088592594977 3.25499006199663e-06 7.17984063452304e-06 0.057984392964408
HNRPD 5.66119026740122 1.93222917684589e-07 4.77999313377762e-07 0.00344207305563326
CFHR5 0.177066325562853 0.860002840608327 0.880667429443362 1
SLC10A7 -1.50404482508758 0.136166125170089 0.170341527653088 1
OR2K2 0.635856180420012 0.526927374635579 0.577180363509697 1
LMAN1 -7.71373230753065 2.49955834114417e-11 8.82774232536523e-11 4.45271322891422e-07
SUHW1 -0.0163955593540293 0.986957734683658 0.98873383678184 1
CHD8 -8.69719695242413 8.30265366377977e-14 3.70964314939987e-13 1.47903472366573e-09
SUMO1 -6.65643087436809 2.96229701097733e-09 8.70367127718129e-09 5.27703589535502e-05
GP1BA 0.103995303413409 0.917396491085395 0.929343252328417 1
DDB1 -8.07863854269215 5.110980351702e-12 1.92610543653944e-11 9.10470039852194e-08
MYO9B -9.97174116795673 2.09700493127502e-15 1.11410813736156e-14 3.73560458457331e-11
MMP7 2.47736829941711 0.0155628507744485 0.0227392243845165 1
CRNKL1 -8.95980301846945 3.74000283631426e-14 1.73320526862909e-13 6.66244105261023e-10
C9orf45 4.09552684753059 8.48746542287814e-05 0.000161568400345321 1
XAB2 -2.27194123955745 0.0259658256366589 0.0366699871485208 1
RTN1 6.01564739982405 4.10547786126623e-08 1.07980189901959e-07 0.000731349826205966
KLHL14 8.72601912141922 5.34734199708237e-13 2.21580717227321e-12 9.52575503360253e-09
TBX10 -3.70805705365999 0.00034906900877796 0.000625144799675338 1
CENPQ -1.66219408237834 0.100062159359038 0.128385717863865 1
UTY 0.175609672903554 0.861109375932768 0.881597840394616 1
ZBTB12 -3.23578634137362 0.00183615724711652 0.00300471295242823 1
DTNBP1 2.44445542079139 0.016715585036254 0.0242939897067658 1
KBTBD8 -1.37300359027156 0.172979147752014 0.211783542134322 1
ZEB1 2.43855983430549 0.0171554553682243 0.0248946954976823 1
ZG16 -0.191261067300385 0.848650106585298 0.870894233464514 1
MIER1 -0.332992192140272 0.740076796436509 0.774738676130926 1
ADAM5P -2.46779211519486 0.0159576362094675 0.0232607259173106 1
CHD9 8.68233956152562 2.71793623157401e-13 1.16275975094283e-12 4.84173160292595e-09
STK16 -3.13235568988418 0.0025173497213458 0.00405681815958514 1
KIAA1486 1.63308402525227 0.107005653819253 0.13657653629979 1
TOB2 0.93476036091118 0.353138589337112 0.404553751154425 1
BANK1 6.886949481306 1.17470628456345e-09 3.58080385920831e-09 2.09262177532134e-05
OR2V2 -0.476969881484243 0.634873238153172 0.679461211442511 1
GRM2 0.142646148647235 0.88701013541145 0.903235312233885 1
PROSC -1.75941162427319 0.0820592173355142 0.106888190817114 1
SPIN2B 4.82487830838641 6.45293192695259e-06 1.38180706030453e-05 0.114952529346734
PIR 3.67475413144281 0.000417116815345059 0.000739944129511739 1
IPO9 -19.8075828082028 4.36608723928253e-35 1.99942103034908e-33 7.7777478080579e-31
EVC 3.07557577763624 0.00257281404953625 0.00414320280947738 1
CXCL13 -6.52828673624903 6.49834874861398e-09 1.845688530099e-08 0.00011576158460781
KIAA1199 -20.6359524798164 5.86259271474879e-38 3.71659169468096e-36 1.04436226620535e-33
SORL1 0.375500188959288 0.708356951338036 0.746532933101116 1
NAT10 -12.6029274988869 2.14299711845763e-21 2.08040058137352e-20 3.81753506682042e-17
CHD1 -2.98020478456364 0.0038041387580215 0.00600877175344876 1
SYN3 2.60317756580418 0.0109109267028765 0.0162623199703014 1
