X,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62
CREB3L1,-0.242,0.87825,0.2735,-0.8145,-0.7465,-0.09175,0.1665,0.143,-0.55125,-0.02875,-0.07675,-0.0235,-0.42425,0.3865,0.5345,0.487,0.0865,0.09225,0.29225,-0.599,-0.4125,-0.18875,0.32175,0.039,-0.58825,-0.07075,0.06775,-0.1385,-0.18925,0.331,-0.29225,0.40225,-0.49025,-0.35975,-0.194,0.35025,0.37625,0.47725,-0.17525,-0.05475,0.07875,-0.1945,0.1575,2.6675,-1.02675,0.41375,-0.288,-0.16425,0.11375,0.31525,-0.224,-0.03275,-0.08275,-0.7705,0.26025,0.51275,-0.5705,0.11025,0.2965,0.0375,-0.37175,0.77575
C10orf90,0.2755,-0.4175,-0.10875,0.93925,0.10675,0.12725,-0.2175,1.1505,-0.114,1.7175,0.14775,0.18325,0.7955,0.67125,-1.24625,0.133,-0.2885,0.84,-0.1165,1.407,0.29225,1.32775,1.15,-0.816,0.05425,0.289,0.62225,0.237333333333333,0.69225,0.0075,0.3205,-0.12125,-0.0155,1.37125,-0.441,0.33325,1.3885,-0.30675,-0.4515,-0.375,0.42375,0.56375,-0.49325,1.37166666666667,0.5535,0.72525,0.70325,0.84475,0.212,0.556,0.93175,0.9285,-1.8095,0.4565,0.136,0.99025,-0.2045,-0.39875,0.12525,-0.162,0.1305,-0.926
KLHL13,1.8995,-0.82375,2.0685,2.532,1.186,0.5105,3.975,2.5535,2.1655,1.579,2.00125,-1.1885,2.328,3.08625,1.943,1.75175,2.01225,1.35125,2.82175,2.3705,-0.51125,-1.56,1.60725,2.533,1.9405,1.89075,2.439,2.52175,2.2285,1.7715,1.4445,0.36025,1.19475,1.663,2.31825,3.204,1.008,2.12375,1.27825,1.78475,1.11125,1.261,1.332,-1.39525,1.84025,0.924,0.71375,1.266,2.44775,2.31175,1.69325,-0.79025,-1.87225,2.0335,1.23675,-1.56,2.81425,0.356,1.49775,1.54225,1.2155,-0.79825
CADM4,0.311333333333333,-0.0641666666666668,0.193,0.565,0.0923333333333333,0.139166666666667,0.519333333333333,-0.0936666666666667,0.237833333333333,0.101833333333333,0.517166666666667,-0.8795,0.308833333333333,0.729666666666667,-0.1968,-0.5954,0.353333333333333,0.1005,-0.0126666666666666,0.174166666666667,0.199666666666667,-1.0475,-0.0113333333333333,0.852833333333333,0.672166666666667,0.0151666666666667,-0.148166666666667,0.312666666666667,0.199833333333333,-0.1985,-0.290666666666667,0.571833333333333,0.196666666666667,0.0643333333333333,0.319166666666667,-0.459833333333333,-1.1002,-0.101666666666667,-0.145666666666667,0.087,0.728333333333333,1.00166666666667,-0.107166666666667,-0.4805,0.357666666666667,0.1135,0.357333333333333,0.0281666666666667,-0.0651666666666667,-0.0305,0.0668333333333334,-1.23266666666667,-0.655333333333333,0.465666666666667,0.0146666666666667,-0.624,0.724166666666667,-0.682666666666667,-0.330333333333333,0.2715,0.5285,-0.433833333333333
CHD8,-0.1602,-0.4168,-0.4708,-0.1464,-0.1488,-0.137,-0.2885,-0.2895,-0.2721,-0.1627,-0.2247,-0.7628,-0.1876,-0.3984,-0.9155,-0.8812,-0.5199,-0.7411,-0.9806,-0.4522,-0.663,-0.9084,-0.2266,-0.6374,-0.3019,0.1054,0.164,-0.5223,-0.3047,-0.0554,-0.8317,-0.4778,-0.4463,-0.2499,-0.5079,-0.4355,-0.768,-0.2217,-0.7593,-0.6651,-0.355,0.2831,-0.306,-1.1746,-0.4193,-0.1644,-0.1913,-0.2628,-0.0054,-0.1259,-0.483,-0.5342,-0.7276,0.081,-0.5821,-0.8914,-0.3726,-0.4764,-0.5982,-0.2975,-0.2806,-0.331
MYO9B,-0.5831,0.2505,-0.2872,-0.4755,-0.4016,-0.4684,-0.7182,-0.3626,-0.6484,-0.2728,-0.6895,-0.2905,-0.4055,-0.3228,-0.2235,-1.0275,-1.0826,-0.6162,-0.8127,-0.4404,-0.2644,-0.3629,-0.983,-0.8725,-0.5283,-0.2797,-0.8509,-0.0471,-0.2921,0.1711,-0.8728,-0.0251,-0.6756,-0.514,-0.617,-1.072875,-1.805,-0.51,-1.1854,-0.5722,-0.602,-0.1262,-0.4484,-0.0278,-0.6591,-0.5724,-0.5226,-0.3025,-0.6737,-1.047,-0.6099,-0.7538,-0.6821,-0.3953,-0.5523,-0.2788,-0.5411,-1.0347,-1.611,-1.0946,-0.701,-0.7063
CRNKL1,0.316,-0.16875,0.093125,0.47575,0.405875,0.4825,0.74725,0.509375,0.73525,0.454875,0.73475,-0.055625,0.52275,0.652375,-0.355625,0.35575,0.165,-0.01275,0.808375,0.436,0.298875,-0.11325,0.604875,0.472375,-0.1185,0.1295,0.351375,-0.342875,0.20675,0.115,0.42125,-0.198125,-0.104625,0.1095,-0.052,0.52425,-0.18925,0.678625,0.1985,-0.0715,-0.38575,-0.397,-0.10975,-1.67228571428571,0.143625,0.00362500000000004,0.11425,-0.199375,0.394625,0.367125,-0.032875,-0.061625,-0.199,-0.031625,0.06875,-0.3665,-0.037125,0.00137499999999999,0.73225,-0.245875,0.169375,-0.093375
IPO9,-0.9453,-0.5204,-0.8339,-0.9058,-0.7283,-0.6942,-0.8546,-0.9902,-0.8258,-1.0124,-0.689,-0.6814,-0.8357,-0.8091,-1.0545,-1.2849,-1.0124,-0.8244,-1.1019,-0.9263,-0.673,-0.8756,-0.7105,-1.1508,-1.0067,-0.5868,-0.7352,-0.7102,-0.9454,-0.6781,-1.5312,-0.7173,-1.0912,-0.6556,-0.734,-1.4821,-1.2292,-1.3641,-1.5376,-1.4415,-1.0762,-0.8794,-1.02522222222222,-0.8289,-1.413,-0.8908,-1.3885,-1.0278,-0.9699,-1.2562,-1.1791,-1.3857,-0.8155,-0.6586,-1.509,-0.8509,-1.2472,-1.4189,-1.4804,-1.3794,-1.3655,-1.1578
KIAA1199,-4.1407,-4.2749,-3.5099,-3.772,-3.7393,-3.4947,-3.9351,-3.2725,-3.1562,-4.2778,-3.9902,-3.1096,-4.0009,-4.5299,-2.93677777777778,-3.2907,-3.0253,-3.4076,-3.0492,-3.8968,-2.5429,-5.4822,-2.9397,-4.5053,-4.5536,-2.6145,-3.8691,-3.3451,-4.3665,-1.8396,-2.4008,-3.75755555555556,-4.5096,-3.7153,-3.2953,-5.06377777777778,-3.96666666666667,-2.77311111111111,-3.6892,-3.3242,-4.57577777777778,-4.4469,-3.85888888888889,-1.57033333333333,-3.4522,-1.6667,-3.1957,-3.2332,-3.5481,-2.8991,-3.6031,-4.9943,-5.84966666666667,-3.4925,-3.4693,-4.9048,-3.5212,-4.7704,-3.09244444444444,-3.80977777777778,-3.9476,-3.5502
NAT10,-0.964,-0.97425,-0.8345,-0.8165,-1.061,-0.839,-1.18,-0.90575,-1.03975,-0.94975,-0.95625,-1.0195,-0.75325,-0.71225,-1.478,-1.98125,-1.46975,-1.237,-1.2885,-0.686,-1.28525,-1.2605,-0.69,-1.0625,-0.84525,-0.86475,-0.92625,-0.80575,-0.474,-0.554,-1.94575,-0.94875,-1.419,-1.13425,-0.8705,-1.50175,-1.40525,-0.8405,-1.35325,-1.28325,-0.99975,-0.295,-1.15925,0.04675,-0.53225,-1.13675,-1.10225,-1.02025,-1.0145,-1.26575,-0.67775,-0.749,-0.843,-0.21625,-1.013,-1.0775,-0.18,-1.11775,-1.5685,-0.80075,-0.98175,-0.94675
WDR34,-1.36525,-1.665,-1.06275,-1.055,-1.1275,-1.26925,-1.01575,-1.209,-0.91075,-1.002,-0.96875,-2.2945,-0.99075,-0.73275,-1.2825,-2.2585,-1.388,-1.249,-1.86125,-1.09625,-2.05275,-2.5705,-0.821,-1.241,-0.9715,-1.341,-1.05625,-0.34125,-0.8085,-1.1275,-2.1125,-1.94575,-1.76225,-1.08675,-1.03125,-1.86625,-2.48625,-2.54625,-1.48025,-1.5455,-1.03925,-0.45625,-1.69375,0.86125,-0.748,-1.80425,-1.45125,-1.49275,-1.0715,-1.32475,-0.85825,-2.422,-2.20725,-0.73625,-1.427,-2.196,-0.7465,-1.94725,-1.805,-1.0635,-1.47525,-1.5035
LOC152573,-0.04375,-0.02125,0.3135,-2.1115,-1.4275,-0.9015,-1.90375,-1.1035,-2.04575,-1.50925,-2.0775,0.41125,-1.56775,-1.95525,-1.20575,0.20775,0.106,0.22725,0.09525,-2.28375,1.444,0.316,-1.69675,-2.34175,-3.2865,-0.031,-2.3385,-2.17975,-2.68675,-0.9495,0.211,0.53075,-1.37,-2.5365,-1.88375,-2.3605,-1.5255,0.14975,-0.491,-0.339,-0.2605,-2.2485,-0.84025,-1.191,-3.03525,0.1005,0.4435,-0.974,-2.05775,-0.51825,-2.4535,0.51575,-0.289,-3.43,-0.34875,0.52575,-2.2195,-1.01125,-1.623,-0.9165,0.27525,0.95
