ID	Gene.Name	Species	COG_ONTOLOGY	GENERIF_SUMMARY	GENETIC_ASSOCIATION_DB_DISEASE	GENETIC_ASSOCIATION_DB_DISEASE_CLASS	GOTERM_BP_FAT	GOTERM_CC_FAT	GOTERM_MF_FAT	INTERPRO	KEGG_PATHWAY	PIR_SUPERFAMILY	SMART	SP_PIR_KEYWORDS	UP_SEQ_FEATURE
ATAD1	ATPase family, AAA domain containing 1	Homo sapiens							GO:0000166~nucleotide binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,	IPR003593:ATPase, AAA+ type, core,IPR003959:ATPase, AAA-type, core,IPR003960:ATPase, AAA-type, conserved site,			SM00382:AAA,	acetylation,alternative splicing,atp-binding,complete proteome,isopeptide bond,nucleotide-binding,phosphoprotein,polymorphism,ubl conjugation,	chain:ATPase family AAA domain-containing protein 1,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,splice variant,
ATP13A1	ATPase type 13A1	Homo sapiens					GO:0006163~purine nucleotide metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006754~ATP biosynthetic process,GO:0006811~ion transport,GO:0006812~cation transport,GO:0009141~nucleoside triphosphate metabolic process,GO:0009142~nucleoside triphosphate biosynthetic process,GO:0009144~purine nucleoside triphosphate metabolic process,GO:0009145~purine nucleoside triphosphate biosynthetic process,GO:0009150~purine ribonucleotide metabolic process,GO:0009152~purine ribonucleotide biosynthetic process,GO:0009165~nucleotide biosynthetic process,GO:0009199~ribonucleoside triphosphate metabolic process,GO:0009201~ribonucleoside triphosphate biosynthetic process,GO:0009205~purine ribonucleoside triphosphate metabolic process,GO:0009206~purine ribonucleoside triphosphate biosynthetic process,GO:0009259~ribonucleotide metabolic process,GO:0009260~ribonucleotide biosynthetic process,GO:0034404~nucleobase, nucleoside and nucleotide biosynthetic process,GO:0034654~nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process,GO:0044271~nitrogen compound biosynthetic process,GO:0046034~ATP metabolic process,	GO:0016021~integral to membrane,GO:0031224~intrinsic to membrane,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0001882~nucleoside binding,GO:0001883~purine nucleoside binding,GO:0005524~ATP binding,GO:0015399~primary active transmembrane transporter activity,GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity,GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0017076~purine nucleotide binding,GO:0030554~adenyl nucleotide binding,GO:0032553~ribonucleotide binding,GO:0032555~purine ribonucleotide binding,GO:0032559~adenyl ribonucleotide binding,GO:0042623~ATPase activity, coupled,GO:0042625~ATPase activity, coupled to transmembrane movement of ions,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043167~ion binding,GO:0043169~cation binding,GO:0043492~ATPase activity, coupled to movement of substances,GO:0046872~metal ion binding,	IPR001757:ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter,IPR005834:Haloacid dehalogenase-like hydrolase,IPR006544:ATPase, P-type, unknown pump specificity (type V),IPR008250:ATPase, P-type, ATPase-associated region,IPR018303:ATPase, P-type phosphorylation site,				alternative splicing,atp-binding,complete proteome,glycoprotein,hydrolase,magnesium,membrane,metal-binding,nucleotide-binding,phosphoprotein,transmembrane,	active site:4-aspartylphosphate intermediate,chain:Probable cation-transporting ATPase 13A1,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Arg,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Magnesium,modified residue,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
WSB1	WD repeat and SOCS box-containing 1	Homo sapiens		15965468:WSB-1 is part of an E3 ubiquitin ligase for the thyroid-hormone-activating type 2 iodothyronine deiodinase (D2).,16804916:WSB1 shows strong correlations between expression level and copy number, and also enhances the prognostic prediction when combined with other current prognostic factors in neuroblastoma.,18093972:the regulatory mechanisms by which HIPK2 is maintained at a low level, by WSB-1 in cells under normal conditions, and stabilized by genotoxic stresses.,18575577:Data on WSB1 regulation support the hypothesis that activation of stress-response mechanisms helps cancer cells establishing metastases and suggest relevance to cancer development of other genes overexpressed in xenografts,18978678:Observational study of gene-disease association. (HuGE Navigator),			GO:0006508~proteolysis,GO:0007242~intracellular signaling cascade,GO:0009057~macromolecule catabolic process,GO:0019941~modification-dependent protein catabolic process,GO:0030163~protein catabolic process,GO:0043632~modification-dependent macromolecule catabolic process,GO:0044257~cellular protein catabolic process,GO:0044265~cellular macromolecule catabolic process,GO:0051603~proteolysis involved in cellular protein catabolic process,			IPR001496:SOCS protein, C-terminal,IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like,IPR017986:WD40 repeat, region,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,IPR019782:WD40 repeat 2,			SM00253:SOCS,SM00320:WD40,	alternative splicing,complete proteome,kinase,polymorphism,repeat,ubl conjugation pathway,wd repeat,	chain:WD repeat and SOCS box-containing protein 1,domain:SOCS box,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,sequence conflict,sequence variant,splice variant,
WDR8	WD repeat domain 8	Homo sapiens								IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like,IPR019775:WD40 repeat, conserved site,IPR019781:WD40 repeat, subgroup,			SM00320:WD40,	complete proteome,cytoplasm,polymorphism,repeat,wd repeat,	chain:WD repeat-containing protein 8,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,sequence conflict,sequence variant,
GON4L	YY1 associated protein 1; gon-4-like (C. elegans)	Homo sapiens		11856496:human liver cancer associated gene,14744866:YY1AP is a novel co-activator of YY1,17297563:study describes the cloning of a novel homolog of YY1AP, referred to as YARP; it is proposed that YARP is multifunctional and plays not only a role analogous to YY1AP, but also its own specific roles in DNA-utilizing processes such as transcription,17541814:HCCA2 may play a novel role in cell cycle regulation.,			GO:0006355~regulation of transcription, DNA-dependent,GO:0045449~regulation of transcription,GO:0051252~regulation of RNA metabolic process,		GO:0003677~DNA binding,	IPR001005:SANT, DNA-binding,IPR003822:Paired amphipathic helix,IPR017877:MYB-like,			SM00717:SANT,	alternative splicing,complete proteome,cytoplasm,isopeptide bond,nucleus,phosphoprotein,polymorphism,repeat,ubl conjugation,	chain:GON-4-like protein,chain:YY1-associated protein 1,compositionally biased region:Asp-rich,compositionally biased region:Glu-rich,compositionally biased region:Poly-Lys,compositionally biased region:Poly-Pro,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),domain:Myb-like,modified residue,repeat:PAH 1,repeat:PAH 2,sequence conflict,sequence variant,splice variant,
APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	Homo sapiens		12653567:The transcriptional activity of the APP intracellular domain-Fe65 complex is inhibited by activation of the NF-kappaB pathway.,12727304:Adjusting for age and sex, we found a slight risk associated with the deletion in intron 13 of the APBB1 gene for subjects less than 65 years.,12779321:gamma-Secretase cleavage and binding to FE65 regulate the nuclear translocation of the intracellular C-terminal domain (ICD) of the APP family of proteins.,12888553:APP and Fe65 mediate transactivation with low density lipoprotein receptor-related protein,14569203:Abnormal accumulations of the amyloid-beta precursor protein associated with the aging cellular muscle fibers and appear to be the key pathogenic event in iclusion-body myositis.,15037614:Alcadein and amyloid beta-protein precursor regulates FE65-dependent gene transactivation,15044485:Fe65 is activated by the APP intracellular domain during transcriptional transactivation,15647266:p65FE65 may be an intracellular mediator in a signaling cascade regulating alpha-secretion of APP,15816856:The present work provides evidence that FE65 plays a role in the regulation of amyloid precursor protein processing in an in vivo transgenic mouse model.,16223726:multiple interactions of AICD with FE65 and 14-3-3gamma modulate FE65-dependent gene transactivation,16332686:FE65 is the key agent of Gal4DB-mediated transcriptional transactivation, whereas Tip60 is an FE65-associated repressor.,17368826:Notch1 intracellular domain plays the role of a negative regulator in AICD signaling via the disruption of the AICD-Fe65-Tip60 trimeric complex.,17512906:Nek6 binds to Fe65 through its (267)PPLP(270) motif; the protein-protein interaction between Nek6 and Fe65 regulates their subcellular localization and cell apoptosis,17590240:We demonstrated that treatment with EGCG reduced the A beta levels by enhancing endogenous APP nonamyloidogenic proteolytic processing.,17686488:Results describe the crystal structures of the human FE65 WW domain (residues 253-289) in the apo form and bound to the peptides PPPPPPLPP and PPPPPPPPPL, which correspond to human Mena residues 313-321 and 347-356, respectively.,17854420:Meta-analysis of gene-disease association. (HuGE Navigator),17855370:Fe65 regulation of APP proteolysis may be integrally associated with its nuclear signaling function, as all antecedent proteolytic steps prior to release of Fe65 from the membrane are fostered by the APP-Fe65 interaction,18468999:APP-regulated FE65 plays an important role in the early stress response of cells and that FE65 deregulated from APP induces apoptosis.,18550529:crystallographic analysis of the human Fe65-phosphotyrosine domain,18777128:Observational study of gene-disease association. (HuGE Navigator),18777128:Single nucleotide polymorphisms in APBB1 gene is associated with nicotine dependence.,18800165:the beta-sheet edge in some natively folded amyloid oligomers is designed positively to prevent beta aggregation,18833287:Study determined the crystal structure of the carboxy-terminal APP intracellular domain in complex with the C-terminal phosphotyrosine-binding (PTB) domain of Fe65; The unique interface involves the NPxY PTB-binding motif and two alpha helices.,18922798:Dexras1 functions as a suppressor of FE65-APP-mediated transcription, and FE65 tyrosine 547 phosphorylation enhances FE65-APP-mediated transcription, at least in part, by modulating the interaction between FE65 and Dexras1,	Alzheimer's Disease,	NEUROLOGICAL,	GO:0000902~cell morphogenesis,GO:0000904~cell morphogenesis involved in differentiation,GO:0001558~regulation of cell growth,GO:0001764~neuron migration,GO:0006325~chromatin organization,GO:0006350~transcription,GO:0006355~regulation of transcription, DNA-dependent,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006473~protein amino acid acetylation,GO:0006915~apoptosis,GO:0006928~cell motion,GO:0006974~response to DNA damage stimulus,GO:0007049~cell cycle,GO:0007050~cell cycle arrest,GO:0007090~regulation of S phase of mitotic cell cycle,GO:0007346~regulation of mitotic cell cycle,GO:0007409~axonogenesis,GO:0007411~axon guidance,GO:0007610~behavior,GO:0007611~learning or memory,GO:0007612~learning,GO:0007632~visual behavior,GO:0008219~cell death,GO:0008361~regulation of cell size,GO:0008542~visual learning,GO:0009314~response to radiation,GO:0009416~response to light stimulus,GO:0009628~response to abiotic stimulus,GO:0009890~negative regulation of biosynthetic process,GO:0009891~positive regulation of biosynthetic process,GO:0010557~positive regulation of macromolecule biosynthetic process,GO:0010558~negative regulation of macromolecule biosynthetic process,GO:0010564~regulation of cell cycle process,GO:0010604~positive regulation of macromolecule metabolic process,GO:0010605~negative regulation of macromolecule metabolic process,GO:0010628~positive regulation of gene expression,GO:0010941~regulation of cell death,GO:0010942~positive regulation of cell death,GO:0010948~negative regulation of cell cycle process,GO:0012501~programmed cell death,GO:0016265~death,GO:0016477~cell migration,GO:0016568~chromatin modification,GO:0016569~covalent chromatin modification,GO:0016570~histone modification,GO:0016573~histone acetylation,GO:0022402~cell cycle process,GO:0030030~cell projection organization,GO:0030182~neuron differentiation,GO:0030198~extracellular matrix organization,GO:0030308~negative regulation of cell growth,GO:0031175~neuron projection development,GO:0031328~positive regulation of cellular biosynthetic process,GO:0032535~regulation of cellular component size,GO:0032989~cellular component morphogenesis,GO:0032990~cell part morphogenesis,GO:0033261~regulation of S phase,GO:0033554~cellular response to stress,GO:0040008~regulation of growth,GO:0042981~regulation of apoptosis,GO:0043062~extracellular structure organization,GO:0043065~positive regulation of apoptosis,GO:0043067~regulation of programmed cell death,GO:0043068~positive regulation of programmed cell death,GO:0043543~protein amino acid acylation,GO:0043967~histone H4 acetylation,GO:0045449~regulation of transcription,GO:0045749~negative regulation of S phase of mitotic cell cycle,GO:0045786~negative regulation of cell cycle,GO:0045792~negative regulation of cell size,GO:0045893~positive regulation of transcription, DNA-dependent,GO:0045926~negative regulation of growth,GO:0045930~negative regulation of mitotic cell cycle,GO:0045935~positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process,GO:0045941~positive regulation of transcription,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048666~neuron development,GO:0048667~cell morphogenesis involved in neuron differentiation,GO:0048812~neuron projection morphogenesis,GO:0048858~cell projection morphogenesis,GO:0048870~cell motility,GO:0050758~regulation of thymidylate synthase biosynthetic process,GO:0050760~negative regulation of thymidylate synthase biosynthetic process,GO:0050877~neurological system process,GO:0050890~cognition,GO:0051173~positive regulation of nitrogen compound metabolic process,GO:0051252~regulation of RNA metabolic process,GO:0051254~positive regulation of RNA metabolic process,GO:0051276~chromosome organization,GO:0051674~localization of cell,GO:0051726~regulation of cell cycle,	GO:0005886~plasma membrane,GO:0030027~lamellipodium,GO:0030426~growth cone,GO:0030427~site of polarized growth,GO:0031252~cell leading edge,GO:0042995~cell projection,GO:0043005~neuron projection,GO:0045202~synapse,	GO:0001540~beta-amyloid binding,GO:0008134~transcription factor binding,GO:0042393~histone binding,GO:0070064~proline-rich region binding,	IPR001202:WW/Rsp5/WWP,IPR006020:Phosphotyrosine interaction region,IPR011993:Pleckstrin homology-type,	hsa05010:Alzheimer's disease,		SM00456:WW,SM00462:PTB,	3d-structure,alternative splicing,Apoptosis,cell membrane,chromatin regulator,complete proteome,cytoplasm,DNA damage,membrane,nucleus,phosphoprotein,polymorphism,repeat,Transcription,transcription regulation,	chain:Amyloid beta A4 precursor protein-binding family B member 1,compositionally biased region:Glu-rich,domain:PID 1,domain:PID 2,domain:WW,helix,modified residue,sequence variant,splice variant,strand,turn,
ATE1	arginyltransferase 1	Homo sapiens					GO:0006508~proteolysis,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0009057~macromolecule catabolic process,GO:0016598~protein arginylation,GO:0019941~modification-dependent protein catabolic process,GO:0030163~protein catabolic process,GO:0043632~modification-dependent macromolecule catabolic process,GO:0044257~cellular protein catabolic process,GO:0044265~cellular macromolecule catabolic process,GO:0051603~proteolysis involved in cellular protein catabolic process,		GO:0004057~arginyltransferase activity,GO:0016755~transferase activity, transferring amino-acyl groups,	IPR007471:Arginine-tRNA-protein transferase, N-terminal,IPR007472:Arginine-tRNA-protein transferase, C-terminal,IPR017137:Arginine-tRNA-protein transferase 1, eukaryotic,		PIRSF037207:arginyl-tRNA--protein transferase 1, eukaryotic type,PIRSF037207:ATE1_euk,		Acyltransferase,alternative splicing,complete proteome,cytoplasm,nucleus,phosphoprotein,transferase,ubl conjugation pathway,	chain:Arginyl-tRNA--protein transferase 1,modified residue,sequence conflict,splice variant,
BRMS1	breast cancer metastasis suppressor 1	Homo sapiens		11822878:BRMS1 functions as a metastasis suppressor in more than one tumor type(i.e., breast carcinoma and cutaneous melanoma)by modifying several metastasis-associated phenotypes.,12650606:BRMS1 has subsequently been shown to suppress metastasis, but not tumorigenicity of human melanoma cells.,14581478:BRMS1 may participate in transcriptional regulation via interaction with the mSin3.HDAC complex,15168732:To further characterize BRMS1-mediated metastasis suppression, proteins differentially expressed between highly metastatic MDA-MB-435 cells & BRMS1-transfected MDA-MB-435 cells were identified. Differential expression was found for 5 proteins.,15592684:Our investigations revealed significantly reduced mRNA expression of metastases suppressor gene BRMS1 in breast cancer brain metastasis.,17227585:Results show that BRMS1 regulates Osteopontin transcription by abrogating NF-kappaB activation,17854218:Available evidence on the reported functions of the identified proteins supports the emerging role of BRMS1 as negative regulator of the metastasis development.,17896182:The pattern of gene expression associated with BRMS1 expression suggests that metastasis suppression may be mediated by enhanced immune recognition, altered transport, and/or secretion of metastasis-associated proteins.,18211900:Alterations of BRMS1-ARID4A interaction modify gene expression but still suppress metastasis in human breast cancer cells.,18276787:BRMS1 inhibits metastases in multiple organs by blocking several steps in the metastatic cascade.,18470911:OPN downregulation by BRMS1 may be responsible, at least in part, for BRMS1-mediated metastasis suppression by sensitizing cancer cells to stress induced apoptosis.,18502034:Breast cancer metastasis suppressor 1 inhibits SDF-1alpha-induced migration of non-small cell lung cancer by decreasing CXCR4 expression.,18543067:BRMS1 is a potent suppressor of metastasis in multiple organs, and identify two steps in the metastatic process that are sensitive to inhibition by BRMS1.,18566899:BRMS1 is a novel target of epigenetic silencing; and aberrant methylation in the BRMS1 promoter may serve as a cause of loss of its expression.,18664570:Breast cancer metastasis suppressor-1 differentially modulates growth factor signaling,18841483:expression of the characteristic *35 kDa BRMS1 protein is not sufficient to prevent metastasis. The differential expression of alternative splice variants suggests caution should be taken when evaluating BRMS1 mRNA in clinical samples.,19052374:Here, the expression, purification and crystallization of a functional fragment of human BRMS1 that is predicted to be a coiled-coil region are reported,19111386:BRMS1 functions as a metastasis suppressor and may be a prognostic indicator for human non-small cell lung cancer.,19165610:BRMS1 recruits HDAC1 to the NF-kappaB binding site of the uPA promoter, modulates histone acetylation of p65 on the uPA promoter, leading to reduced NF-kappaB binding activity on its consensus sequence, and reduced transactivation of uPA expression.,19405953:This protein has been found differentially expressed in the Wernicke's Area from patients with schizophrenia.,						IPR013907:Sds3-like,				complete proteome,tumor suppressor,	chain:Breast cancer metastasis-suppressor 1,
CAPRIN1	cell cycle associated protein 1	Homo sapiens		14764709:Homologous region-1 (HR-1) is a novel protein domain that has been identified near the N-terminus of human caprin-1; highly conserved in vertebrates and insects, it is also present in the human caprin-2 paralog.,15471883:involvement of cellular protein p137 in transcription of intermediate stage genes may regulate the transition between early and late phases of vaccinia virus replication,16177067:Suppression of expression of human Caprin-1 results in slowing of the proliferation rate, due to prolongation of the G1 phase of the cell cycle, formally demonstrating that Caprin-1 is essential for normal cellular proliferation.,17210633:Caprin-1/G3BP-1 complex is likely to regulate the transport and translation of mRNAs of proteins involved with synaptic plasticity in neurons,				GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral to plasma membrane,GO:0016021~integral to membrane,GO:0030425~dendrite,GO:0031224~intrinsic to membrane,GO:0031226~intrinsic to plasma membrane,GO:0042995~cell projection,GO:0043005~neuron projection,GO:0044459~plasma membrane part,						alternative splicing,cell projection,coiled coil,complete proteome,cytoplasm,direct protein sequencing,membrane protein,phosphatidylinositol linkage,phosphoprotein,polymorphism,	chain:Caprin-1,modified residue,mutagenesis site,region of interest:G3BP1-binding,sequence conflict,sequence variant,splice variant,
CKAP2	cytoskeleton associated protein 2	Homo sapiens		12500535:CKAP2 comprises nine exons ranging 70-1442 bp and is about 22 kb in size (regulatory regions included). The CKAP2 promoter contains CCAAT (-39...-33) rather than the canonical TATA box, and harbors nine binding sites for six transcription factors,16876122:protein is expressed cell cycle dependently and it is involved in cell proliferation,17339342:Data show that degradation of TMAP/CKAP2 during mitotic exit is mediated by the anaphase-promoting complex bound to Cdh1 and that the KEN box motif near the N terminus is necessary for its destruction.,17376772:CKAP2 is a physiological substrate of anaphase-promoting complex/cyclosome during mitotic exit and that a tight regulation of the CKAP2 protein level is critical for the normal mitotic progression.,			GO:0006915~apoptosis,GO:0007049~cell cycle,GO:0008219~cell death,GO:0012501~programmed cell death,GO:0016265~death,	GO:0005819~spindle,GO:0005856~cytoskeleton,GO:0005874~microtubule,GO:0015630~microtubule cytoskeleton,GO:0043228~non-membrane-bounded organelle,GO:0043232~intracellular non-membrane-bounded organelle,GO:0044430~cytoskeletal part,						alternative splicing,Apoptosis,cell cycle,complete proteome,cytoplasm,cytoskeleton,microtubule,phosphoprotein,polymorphism,	chain:Cytoskeleton-associated protein 2,modified residue,sequence conflict,sequence variant,splice variant,
